gallery_id,post_num,title,content,writer,date,view_count,recommend,comments,comment_count,search_keyword,url,full_text,comments_text,all_text,cleaned_text,sentiment_compound,sentiment_category,view_count_num,recommend_num,month
cat,10010,반려동물 항공 운송 관련 보험 있나요?,펫 프렌들리한 항공사를 찾고 있는데 추천해주실 수 있나요? 서비스가 좋은 곳으로요.,user010,2024.05.19,275,12,"['스트레스 완화용 페로몬 스프레이 추천', '미리 예약하면 할인 받을 수 있어요', '보험 가입하시는 게 좋아요', '화물칸 온도는 일정하게 유지됩니다']",4,비행기 여행,https://gall.dcinside.com/board/view/?id=dog&no=10010,반려동물 항공 운송 관련 보험 있나요? 펫 프렌들리한 항공사를 찾고 있는데 추천해주실 수 있나요? 서비스가 좋은 곳으로요.,스트레스 완화용 페로몬 스프레이 추천 미리 예약하면 할인 받을 수 있어요 보험 가입하시는 게 좋아요 화물칸 온도는 일정하게 유지됩니다,반려동물 항공 운송 관련 보험 있나요? 펫 프렌들리한 항공사를 찾고 있는데 추천해주실 수 있나요? 서비스가 좋은 곳으로요. 스트레스 완화용 페로몬 스프레이 추천 미리 예약하면 할인 받을 수 있어요 보험 가입하시는 게 좋아요 화물칸 온도는 일정하게 유지됩니다,반려동물 항공 운송 관련 보험 있나요 펫 프렌들리한 항공사를 찾고 있는데 추천해주실 수 있나요 서비스가 좋은 곳으로요 스트레스 완화용 페로몬 스프레이 추천 미리 예약하면 할인 받을 수 있어요 보험 가입하시는 게 좋아요 화물칸 온도는 일정하게 유지됩니다,0.8,positive,275,12,05
travel,10011,고양이 장거리 비행 후 컨디션 회복기,장거리 비행 후에 반려동물 컨디션이 어떻게 되는지 궁금합니다. 회복 기간이 얼마나 걸리나요?,user011,2024.08.17,885,12,['보험 가입하시는 게 좋아요'],1,반려동물 항공,https://gall.dcinside.com/board/view/?id=dog&no=10011,고양이 장거리 비행 후 컨디션 회복기 장거리 비행 후에 반려동물 컨디션이 어떻게 되는지 궁금합니다. 회복 기간이 얼마나 걸리나요?,보험 가입하시는 게 좋아요,고양이 장거리 비행 후 컨디션 회복기 장거리 비행 후에 반려동물 컨디션이 어떻게 되는지 궁금합니다. 회복 기간이 얼마나 걸리나요? 보험 가입하시는 게 좋아요,고양이 장거리 비행 후 컨디션 회복기 장거리 비행 후에 반려동물 컨디션이 어떻게 되는지 궁금합니다 회복 기간이 얼마나 걸리나요 보험 가입하시는 게 좋아요,0.3,positive,885,12,08
cat,10012,펫캐리어 사이즈 규정 항공사별 정리,반려동물이 캐리어 안에서 계속 울면 다른 승객들에게 피해가 될까봐 걱정이에요.,user012,2024.07.05,1879,34,"['저도 같은 고민이에요', '수의사 상담 받아보세요', '경험상 대형 항공사가 더 안전해요']",3,펫캐리어,https://gall.dcinside.com/board/view/?id=dog&no=10012,펫캐리어 사이즈 규정 항공사별 정리 반려동물이 캐리어 안에서 계속 울면 다른 승객들에게 피해가 될까봐 걱정이에요.,저도 같은 고민이에요 수의사 상담 받아보세요 경험상 대형 항공사가 더 안전해요,펫캐리어 사이즈 규정 항공사별 정리 반려동물이 캐리어 안에서 계속 울면 다른 승객들에게 피해가 될까봐 걱정이에요. 저도 같은 고민이에요 수의사 상담 받아보세요 경험상 대형 항공사가 더 안전해요,펫캐리어 사이즈 규정 항공사별 정리 반려동물이 캐리어 안에서 계속 울면 다른 승객들에게 피해가 될까봐 걱정이에요 저도 같은 고민이에요 수의사 상담 받아보세요 경험상 대형 항공사가 더 안전해요,-0.6,negative,1879,34,07
dog,10013,펫 친화적인 항공사 추천 부탁드려요,지난달에 고양이랑 비행기 타고 왔는데 생각보다 스트레스를 많이 받더라고요. 미리 준비를 더 했어야 했나 싶어요.,user013,2024.09.25,1450,38,"['여행 전 건강검진 필수입니다', '수의사 상담 받아보세요', '성공 경험담 공유해드릴게요', '화물칸 온도는 일정하게 유지됩니다', '저도 같은 고민이에요']",5,펫캐리어,https://gall.dcinside.com/board/view/?id=dog&no=10013,펫 친화적인 항공사 추천 부탁드려요 지난달에 고양이랑 비행기 타고 왔는데 생각보다 스트레스를 많이 받더라고요. 미리 준비를 더 했어야 했나 싶어요.,여행 전 건강검진 필수입니다 수의사 상담 받아보세요 성공 경험담 공유해드릴게요 화물칸 온도는 일정하게 유지됩니다 저도 같은 고민이에요,펫 친화적인 항공사 추천 부탁드려요 지난달에 고양이랑 비행기 타고 왔는데 생각보다 스트레스를 많이 받더라고요. 미리 준비를 더 했어야 했나 싶어요. 여행 전 건강검진 필수입니다 수의사 상담 받아보세요 성공 경험담 공유해드릴게요 화물칸 온도는 일정하게 유지됩니다 저도 같은 고민이에요,펫 친화적인 항공사 추천 부탁드려요 지난달에 고양이랑 비행기 타고 왔는데 생각보다 스트레스를 많이 받더라고요 미리 준비를 더 했어야 했나 싶어요 여행 전 건강검진 필수입니다 수의사 상담 받아보세요 성공 경험담 공유해드릴게요 화물칸 온도는 일정하게 유지됩니다 저도 같은 고민이에요,0.6,positive,1450,38,09
dog,10014,고양이 장거리 비행 후 컨디션 회복기,펫캐리어 사이즈 맞춰서 준비했는데 막상 공항에서 규정에 안 맞는다고 하더군요. 미리 확인 필수입니다.,user014,2024.07.28,498,16,"['스트레스 완화용 페로몬 스프레이 추천', '성공 경험담 공유해드릴게요', '경험상 대형 항공사가 더 안전해요']",3,비행기 여행,https://gall.dcinside.com/board/view/?id=dog&no=10014,고양이 장거리 비행 후 컨디션 회복기 펫캐리어 사이즈 맞춰서 준비했는데 막상 공항에서 규정에 안 맞는다고 하더군요. 미리 확인 필수입니다.,스트레스 완화용 페로몬 스프레이 추천 성공 경험담 공유해드릴게요 경험상 대형 항공사가 더 안전해요,고양이 장거리 비행 후 컨디션 회복기 펫캐리어 사이즈 맞춰서 준비했는데 막상 공항에서 규정에 안 맞는다고 하더군요. 미리 확인 필수입니다. 스트레스 완화용 페로몬 스프레이 추천 성공 경험담 공유해드릴게요 경험상 대형 항공사가 더 안전해요,고양이 장거리 비행 후 컨디션 회복기 펫캐리어 사이즈 맞춰서 준비했는데 막상 공항에서 규정에 안 맞는다고 하더군요 미리 확인 필수입니다 스트레스 완화용 페로몬 스프레이 추천 성공 경험담 공유해드릴게요 경험상 대형 항공사가 더 안전해요,0.8,positive,498,16,07
travel,10015,반려동물 항공 운송 관련 보험 있나요?,항공 운송비가 생각보다 비싸서 놀랐어요. 다른 방법은 없을까요?,user015,2024.04.25,1558,43,['미리 예약하면 할인 받을 수 있어요'],1,반려견 여행,https://gall.dcinside.com/board/view/?id=dog&no=10015,반려동물 항공 운송 관련 보험 있나요? 항공 운송비가 생각보다 비싸서 놀랐어요. 다른 방법은 없을까요?,미리 예약하면 할인 받을 수 있어요,반려동물 항공 운송 관련 보험 있나요? 항공 운송비가 생각보다 비싸서 놀랐어요. 다른 방법은 없을까요? 미리 예약하면 할인 받을 수 있어요,반려동물 항공 운송 관련 보험 있나요 항공 운송비가 생각보다 비싸서 놀랐어요 다른 방법은 없을까요 미리 예약하면 할인 받을 수 있어요,-0.3,negative,1558,43,04
travel,10016,화물칸 온도 조절 어떻게 되는지 궁금,펫 프렌들리한 항공사를 찾고 있는데 추천해주실 수 있나요? 서비스가 좋은 곳으로요.,user016,2024.04.23,345,42,"['성공 경험담 공유해드릴게요', '수의사 상담 받아보세요', '진정제는 오히려 위험할 수 있어요', '화물칸 온도는 일정하게 유지됩니다']",4,펫 화물칸,https://gall.dcinside.com/board/view/?id=dog&no=10016,화물칸 온도 조절 어떻게 되는지 궁금 펫 프렌들리한 항공사를 찾고 있는데 추천해주실 수 있나요? 서비스가 좋은 곳으로요.,성공 경험담 공유해드릴게요 수의사 상담 받아보세요 진정제는 오히려 위험할 수 있어요 화물칸 온도는 일정하게 유지됩니다,화물칸 온도 조절 어떻게 되는지 궁금 펫 프렌들리한 항공사를 찾고 있는데 추천해주실 수 있나요? 서비스가 좋은 곳으로요. 성공 경험담 공유해드릴게요 수의사 상담 받아보세요 진정제는 오히려 위험할 수 있어요 화물칸 온도는 일정하게 유지됩니다,화물칸 온도 조절 어떻게 되는지 궁금 펫 프렌들리한 항공사를 찾고 있는데 추천해주실 수 있나요 서비스가 좋은 곳으로요 성공 경험담 공유해드릴게요 수의사 상담 받아보세요 진정제는 오히려 위험할 수 있어요 화물칸 온도는 일정하게 유지됩니다,0.6,positive,345,42,04
dog,10017,강아지 해외여행 비행기 태우는 방법 문의,해외 이주 예정인데 강아지를 어떻게 데려갈지 고민이에요. 화물칸이 안전한지 정말 걱정됩니다.,user017,2024.11.16,552,48,"['여행 전 건강검진 필수입니다', '성공 경험담 공유해드릴게요', '보험 가입하시는 게 좋아요', '경험상 대형 항공사가 더 안전해요']",4,펫캐리어,https://gall.dcinside.com/board/view/?id=dog&no=10017,강아지 해외여행 비행기 태우는 방법 문의 해외 이주 예정인데 강아지를 어떻게 데려갈지 고민이에요. 화물칸이 안전한지 정말 걱정됩니다.,여행 전 건강검진 필수입니다 성공 경험담 공유해드릴게요 보험 가입하시는 게 좋아요 경험상 대형 항공사가 더 안전해요,강아지 해외여행 비행기 태우는 방법 문의 해외 이주 예정인데 강아지를 어떻게 데려갈지 고민이에요. 화물칸이 안전한지 정말 걱정됩니다. 여행 전 건강검진 필수입니다 성공 경험담 공유해드릴게요 보험 가입하시는 게 좋아요 경험상 대형 항공사가 더 안전해요,강아지 해외여행 비행기 태우는 방법 문의 해외 이주 예정인데 강아지를 어떻게 데려갈지 고민이에요 화물칸이 안전한지 정말 걱정됩니다 여행 전 건강검진 필수입니다 성공 경험담 공유해드릴게요 보험 가입하시는 게 좋아요 경험상 대형 항공사가 더 안전해요,0.8,positive,552,48,11
dog,10018,펫캐리어 사이즈 규정 항공사별 정리,화물칸 온도가 일정하게 유지되는지 궁금해요. 여름철에는 너무 더울까봐 걱정이에요.,user018,2024.08.14,1569,23,"['수의사 상담 받아보세요', '성공 경험담 공유해드릴게요']",2,펫 화물칸,https://gall.dcinside.com/board/view/?id=dog&no=10018,펫캐리어 사이즈 규정 항공사별 정리 화물칸 온도가 일정하게 유지되는지 궁금해요. 여름철에는 너무 더울까봐 걱정이에요.,수의사 상담 받아보세요 성공 경험담 공유해드릴게요,펫캐리어 사이즈 규정 항공사별 정리 화물칸 온도가 일정하게 유지되는지 궁금해요. 여름철에는 너무 더울까봐 걱정이에요. 수의사 상담 받아보세요 성공 경험담 공유해드릴게요,펫캐리어 사이즈 규정 항공사별 정리 화물칸 온도가 일정하게 유지되는지 궁금해요 여름철에는 너무 더울까봐 걱정이에요 수의사 상담 받아보세요 성공 경험담 공유해드릴게요,0.0,neutral,1569,23,08
dog,10019,반려동물 운송 중 사고 뉴스 보고 불안해요,항공 운송비가 생각보다 비싸서 놀랐어요. 다른 방법은 없을까요?,user019,2024.04.04,1500,37,"['진정제는 오히려 위험할 수 있어요', '경험상 대형 항공사가 더 안전해요', '화물칸 온도는 일정하게 유지됩니다']",3,펫 화물칸,https://gall.dcinside.com/board/view/?id=dog&no=10019,반려동물 운송 중 사고 뉴스 보고 불안해요 항공 운송비가 생각보다 비싸서 놀랐어요. 다른 방법은 없을까요?,진정제는 오히려 위험할 수 있어요 경험상 대형 항공사가 더 안전해요 화물칸 온도는 일정하게 유지됩니다,반려동물 운송 중 사고 뉴스 보고 불안해요 항공 운송비가 생각보다 비싸서 놀랐어요. 다른 방법은 없을까요? 진정제는 오히려 위험할 수 있어요 경험상 대형 항공사가 더 안전해요 화물칸 온도는 일정하게 유지됩니다,반려동물 운송 중 사고 뉴스 보고 불안해요 항공 운송비가 생각보다 비싸서 놀랐어요 다른 방법은 없을까요 진정제는 오히려 위험할 수 있어요 경험상 대형 항공사가 더 안전해요 화물칸 온도는 일정하게 유지됩니다,-0.8,negative,1500,37,04
dog,10020,펫 친화적인 항공사 추천 부탁드려요,반려동물이 캐리어 안에서 계속 울면 다른 승객들에게 피해가 될까봐 걱정이에요.,user020,2024.11.22,917,26,"['경험상 대형 항공사가 더 안전해요', '미리 예약하면 할인 받을 수 있어요', '수의사 상담 받아보세요']",3,펫캐리어,https://gall.dcinside.com/board/view/?id=dog&no=10020,펫 친화적인 항공사 추천 부탁드려요 반려동물이 캐리어 안에서 계속 울면 다른 승객들에게 피해가 될까봐 걱정이에요.,경험상 대형 항공사가 더 안전해요 미리 예약하면 할인 받을 수 있어요 수의사 상담 받아보세요,펫 친화적인 항공사 추천 부탁드려요 반려동물이 캐리어 안에서 계속 울면 다른 승객들에게 피해가 될까봐 걱정이에요. 경험상 대형 항공사가 더 안전해요 미리 예약하면 할인 받을 수 있어요 수의사 상담 받아보세요,펫 친화적인 항공사 추천 부탁드려요 반려동물이 캐리어 안에서 계속 울면 다른 승객들에게 피해가 될까봐 걱정이에요 경험상 대형 항공사가 더 안전해요 미리 예약하면 할인 받을 수 있어요 수의사 상담 받아보세요,0.0,neutral,917,26,11
cat,10021,반려견 화물칸 운송 후기 - 스트레스 많이 받네요,반려동물이 캐리어 안에서 계속 울면 다른 승객들에게 피해가 될까봐 걱정이에요.,user021,2024.01.25,1417,5,"['진정제는 오히려 위험할 수 있어요', '수의사 상담 받아보세요']",2,화물칸 스트레스,https://gall.dcinside.com/board/view/?id=dog&no=10021,반려견 화물칸 운송 후기 - 스트레스 많이 받네요 반려동물이 캐리어 안에서 계속 울면 다른 승객들에게 피해가 될까봐 걱정이에요.,진정제는 오히려 위험할 수 있어요 수의사 상담 받아보세요,반려견 화물칸 운송 후기 - 스트레스 많이 받네요 반려동물이 캐리어 안에서 계속 울면 다른 승객들에게 피해가 될까봐 걱정이에요. 진정제는 오히려 위험할 수 있어요 수의사 상담 받아보세요,반려견 화물칸 운송 후기 스트레스 많이 받네요 반려동물이 캐리어 안에서 계속 울면 다른 승객들에게 피해가 될까봐 걱정이에요 진정제는 오히려 위험할 수 있어요 수의사 상담 받아보세요,-0.8,negative,1417,5,01
